ds_CA,ds_ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R
0,0,0,0,0,0,0,0
0.019384,0.000236471,0.08475,0.0735,-0.3615,0.095,0.56275,-0.4765
0.066007,0.000442189,0.0895,-0.0275,-0.60525,-0.34625,-0.3515,-1.1595
0.085061,0.002351828,0.1365,0.07775,-0.69175,0.00725,-0.915,-1.26725
0.085061,0.002408879,0.10675,0.05625,-0.54575,0.06875,-1.03725,-1.1245
0.382519,0.003988613,0.2695,0.1625,-0.5545,0.5535,-2.28325,-1.683
0.222782,0.0014355,-0.427,-0.23775,0.59225,-1.0685,0.404,1.77275
0.078292,0.002182996,-0.2419,-0.2342,-0.0786,-1.1159,2.2033,1.0106
0.191683,0.001595936,-0.3255,-0.14975,0.03375,-0.9585,2.692,1.778
0.396557,0.001595936,0.020166667,-0.062916667,0.118416667,0.268666667,0.788833333,-0.0395
0.110893,0.00157196,0.23,0.12225,1.40225,1.21,-2.97975,0.2615
2.302402,0.01816644,-0.2551,-0.1655,0.16395,-1.0589,0.27405,0.71745
0.188358,0.00473459,0.1595,0.052,0.4115,0.99925,-0.24375,0.058
0.100778,0.00086246,0.35225,0.33825,1.64625,2.6485,-0.809,0.30525
0.638468,0.00718927,0.332,0.0775,1.2212,1.0441,0.0831,1.2652
0.117232,0.00087511,-0.41675,0.00975,-0.657,-1.9525,0.028416667,0
